year,continent,income
1961,europe,9493.4375
1962,africa,2267.5185185185187
1962,americas,6553.85
1962,asia,6152.116666666667
1962,europe,9772.3125
1963,africa,2436.8518518518517
1963,americas,6659.175
1963,asia,6508.316666666667
1963,europe,10078.0
1964,africa,2661.925925925926
1964,americas,6942.875
1964,asia,7014.9
1964,europe,10736.5
1965,africa,2852.4074074074074
1965,americas,7182.15
1965,asia,7586.716666666666
1965,europe,11134.770833333334
1966,africa,2977.0555555555557
1966,americas,7467.575
1966,asia,8229.933333333332
1966,europe,11564.3125
1967,africa,3075.8333333333335
1967,americas,7724.625
1967,asia,9041.816666666668
1967,europe,11936.083333333334
1968,africa,3369.3518518518517
1968,americas,7921.775
1968,asia,10034.483333333334
1968,europe,12396.479166666666
1969,africa,3523.0
1969,americas,8169.075
1969,asia,11121.45
1969,europe,13022.041666666666
1970,africa,3651.574074074074
1970,americas,8369.375
1970,asia,12339.666666666666
1970,europe,13631.520833333334
1971,africa,3615.8703703703704
1971,americas,8586.4
1971,asia,12824.266666666666
1971,europe,14167.25
1972,africa,3516.796296296296
1972,americas,8812.425
1972,asia,13292.25
1972,europe,14671.979166666666
1973,africa,3547.1666666666665
1973,americas,9177.275
1973,asia,14122.766666666666
1973,europe,15396.854166666666
1974,africa,3615.3333333333335
1974,americas,9329.675
1974,asia,17577.383333333335
1974,europe,15940.520833333334
1975,africa,3621.037037037037
1975,americas,9320.75
1975,asia,17104.9
1975,europe,15846.9375
1976,africa,3915.8333333333335
1976,americas,9680.4
1976,asia,17559.95
1976,europe,16400.1875
1977,africa,3986.1111111111113
1977,americas,10030.125
1977,asia,17303.816666666666
1977,europe,16883.104166666668
1978,africa,4073.5
1978,americas,10437.475
1978,asia,16866.933333333334
1978,europe,17319.791666666668
1979,africa,4259.388888888889
1979,americas,10832.15
1979,asia,18052.116666666665
1979,europe,17811.0625
1980,africa,4274.462962962963
1980,americas,11070.85
1980,asia,17842.116666666665
1980,europe,18156.479166666668
1981,africa,4006.1296296296296
1981,americas,11157.15
1981,asia,16693.333333333332
1981,europe,18209.770833333332
1982,africa,3955.1666666666665
1982,americas,10988.3
1982,asia,15423.55
1982,europe,18348.1875
1983,africa,3886.925925925926
1983,americas,11003.075
1983,asia,14958.783333333333
1983,europe,18574.895833333332
1984,africa,3779.3518518518517
1984,americas,11249.55
1984,asia,14950.816666666668
1984,europe,19016.541666666668
1985,africa,3768.222222222222
1985,americas,11472.675
1985,asia,14237.4
1985,europe,19345.083333333332
1986,africa,3568.037037037037
1986,americas,11824.225
1986,asia,13439.4
1986,europe,19889.666666666668
1987,africa,3431.5555555555557
1987,americas,12233.375
1987,asia,13666.15
1987,europe,20258.104166666668
1988,africa,3414.3333333333335
1988,americas,12690.875
1988,asia,13395.966666666667
1988,europe,20818.958333333332
1989,africa,3561.5925925925926
1989,americas,12982.425
1989,asia,13651.0
1989,europe,21306.75
1990,africa,3587.3888888888887
1990,americas,13099.375
1990,asia,14172.883333333333
1990,europe,21085.326530612245
1991,africa,3656.0925925925926
1991,americas,13082.275
1991,asia,13694.133333333333
1991,europe,20547.020408163266
1992,africa,3603.685185185185
1992,americas,13182.125
1992,asia,14483.416666666666
1992,europe,19826.34693877551
1993,africa,3544.3888888888887
1993,americas,13340.125
1993,asia,14857.75
1993,europe,19442.85714285714
1994,africa,3532.1666666666665
1994,americas,13619.3
1994,asia,15169.1
1994,europe,19798.897959183672
1995,africa,3504.203703703704
1995,americas,13776.975
1995,asia,15595.55
1995,europe,20363.571428571428
1996,africa,3612.277777777778
1996,americas,14028.725
1996,asia,15855.716666666667
1996,europe,20954.918367346938
1997,africa,3765.4444444444443
1997,americas,14503.4
1997,asia,16383.95
1997,europe,21736.163265306124
1998,africa,3836.740740740741
1998,americas,14919.975
1998,asia,16313.05
1998,europe,22532.0
1999,africa,3863.5
1999,americas,15129.8
1999,asia,16356.033333333333
1999,europe,23195.673469387755
2000,africa,3930.314814814815
2000,americas,15446.775
2000,asia,16863.883333333335
2000,europe,24160.65306122449
2001,africa,4076.722222222222
2001,americas,15532.875
2001,asia,16819.816666666666
2001,europe,24658.836734693876
2002,africa,4152.962962962963
2002,americas,15475.575
2002,asia,17065.95
2002,europe,25074.34693877551
2003,africa,4282.351851851852
2003,americas,15719.675
2003,asia,17504.366666666665
2003,europe,25592.591836734693
2004,africa,4539.740740740741
2004,americas,16200.325
2004,asia,18426.966666666667
2004,europe,26522.571428571428
2005,africa,4778.5
2005,americas,16740.8
2005,asia,18588.65
2005,europe,27397.918367346938
2006,africa,4883.2037037037035
2006,americas,17397.175
2006,asia,19169.633333333335
2006,europe,28581.122448979593
2007,africa,5147.833333333333
2007,americas,17880.875
2007,asia,19505.416666666668
2007,europe,29885.79591836735
2008,africa,5277.87037037037
2008,americas,18050.125
2008,asia,19498.25
2008,europe,30002.673469387755
2009,africa,5177.685185185185
2009,americas,17267.075
2009,asia,18902.5
2009,europe,28319.469387755104
2010,africa,5297.2037037037035
2010,americas,17321.15
2010,asia,19705.3
2010,europe,28641.979591836734
2011,africa,5078.833333333333
2011,americas,18076.341463414636
2011,asia,20518.316666666666
2011,europe,29172.61224489796
2012,africa,5385.87037037037
2012,americas,17700.425
2012,asia,20952.116666666665
2012,europe,29059.938775510203
2013,africa,5393.962962962963
2013,americas,17867.925
2013,asia,21357.65
2013,europe,29154.428571428572
2014,africa,5367.425925925926
2014,americas,18010.75
2014,asia,22030.183333333334
2014,europe,29580.918367346938
